airport,airline,air_cluster,frequency
EGLL,ACIO,B744,293
EGLL,ABCH,A332,780
EGLL,ABCH,B744,388
EGLL,ABCH,B763,1
EGLL,BCPZ,A332,1124
EGLL,BCPZ,B744,212
EGLL,BCKP,B763,444
EGLL,BCKP,A332,391
EGLL,BCKP,B744,58
EGLL,BCKP,B752,56
EGLL,ABKV,A320,4904
EGLL,ABKV,A319,3435
EGLL,ABKV,A332,2952
EGLL,ABKV,B744,2315
EGLL,ABKV,A321,2208
EGLL,ABKV,B738,1083
EGLL,ABCZ,A332,280
EGLL,ABCZ,B744,168
EGLL,ABCZ,B763,56
EGLL,ACLM,A332,334
EGLL,ACLM,B763,224
EGLL,ACLM,B744,1
EGLL,ABEF,A321,169
EGLL,ABEF,A332,55
EGLL,ABEF,A320,36
EGLL,ABEF,B738,19
EGLL,AGHW,A319,110
EGLL,AGHW,A321,106
EGLL,AGHW,A320,89
EGLL,AGHW,B744,55
EGLL,AGHW,B738,51
EGLL,AGHW,A332,4
EGLL,ADNY,A319,663
EGLL,ADNY,A320,108
EGLL,ADNY,DH8D,1
EGLL,AVXY,B734,298
EGLL,AVXY,A320,269
EGLL,AVXY,A321,56
EGLL,AVXY,A319,27
EGLL,AVXY,E190,1
EGLL,ANTW,B744,201
EGLL,ANTW,A332,145
EGLL,BCGH,B744,112
EGLL,BCKN,B744,348
EGLL,ADKM,A320,1263
EGLL,ABES,A332,170
EGLL,ABES,B744,54
EGLL,AGIQ,B752,64
EGLL,AGIQ,B763,47
EGLL,ABMO,A320,108
EGLL,ABMO,A319,51
EGLL,ABHQ,A319,67
EGLL,ABHQ,A320,56
EGLL,AORS,A332,48
EGLL,AORS,A321,8
EGLL,ABMN,DH8D,816
EGLL,ABMN,CRJX,1
EGLL,ADMX,B744,171
EGLL,ADMX,A332,110
EGLL,AQUV,A319,1027
EGLL,AQUV,A320,698
EGLL,AQUV,A321,442
EGLL,AQUV,B738,179
EGLL,ABEH,A320,111
EGLL,ABEH,A321,105
EGLL,ABEH,A319,90
EGLL,ABEH,B734,14
EGLL,ABEH,E190,12
EGLL,APSV,B738,643
EGLL,APSV,B737,44
EGLL,APSV,A320,22
