airport,airline,frequency,low_cost
EGLL,ABKV,16897,False
EGLL,AQUV,2346,False
EGLL,BCPZ,1336,False
EGLL,ADKM,1263,False
EGLL,ABCH,1169,False
EGLL,ADGK,1090,False
EGLL,BCKP,949,False
EGLL,ABMN,817,True
EGLL,ADNY,772,True
EGLL,APSV,751,False
EGLL,AVXY,651,False
EGLL,ACLM,559,False
EGLL,AHLR,547,False
EGLL,ABCZ,504,False
EGLL,AGHW,415,False
EGLL,BCDY,351,False
EGLL,BCKN,348,False
EGLL,ANTW,346,False
EGLL,AEGR,336,False
EGLL,ABEH,332,False
EGLL,BCGK,304,False
EGLL,ACIO,293,False
EGLL,ADMX,281,False
EGLL,ABJT,280,False
EGLL,ABEF,279,False
EGLL,AQUY,246,False
EGLL,ABES,224,False
EGLL,ABIN,223,False
EGLL,ACDJ,192,False
EGLL,ABDR,176,False
EGLL,AHRZ,161,False
EGLL,ABMO,159,False
EGLL,ABLU,138,False
EGLL,ABFN,128,False
EGLL,ABHQ,123,False
EGLL,ANSV,117,False
EGLL,ALMV,114,False
EGLL,AUVZ,114,False
EGLL,AILV,114,False
EGLL,AEQR,114,False
EGLL,AJPR,113,False
EGLL,AIOU,112,False
EGLL,AGQY,112,False
EGLL,ACJM,112,False
EGLL,BCGH,112,False
EGLL,AGIQ,111,False
EGLL,AHJO,102,False
EGLL,ADKY,88,False
EGLL,AMQX,80,False
EGLL,ADMY,74,False
EGLL,AHJR,72,False
EGLL,ANUV,72,False
EGLL,ANUZ,58,False
EGLL,ABFV,56,False
EGLL,ABIS,56,False
EGLL,ABFW,56,False
EGLL,AHLX,56,False
EGLL,AOUW,56,False
EGLL,ABFK,56,False
EGLL,BCRU,56,True
EGLL,ACDU,56,False
EGLL,ABGK,56,False
EGLL,AORS,56,False
EGLL,BCDX,56,False
EGLL,ABCI,56,False
EGLL,AFVZ,54,False
EGLL,ACKZ,53,False
EGLL,APRW,52,False
EGLL,AHMU,50,False
EGLL,ADNS,45,False
EGLL,AIKT,41,False
EGLL,ABEP,40,False
EGLL,ALXZ,40,False
EGLL,AENO,36,False
