airport,day_start,day_end,min_start,min_end,n_flights,capacity_reduction_mean
EBBR,0,0,1020,1140,27,0.5365990990990991
EBBR,1,1,360,420,25,0.138157894736842
EBBR,2,2,1020,1160,30,0.4818840579710144
EBBR,3,3,1020,1120,15,0.6470588235294118
EBBR,4,4,720,900,13,0.71875
EBBR,5,5,700,950,18,0.8158333333333333
EBBR,6,6,340,480,35,0.8434343434343434
EBBR,7,7,780,900,2,0.7013888888888888
EBBR,8,8,340,500,46,0.2489754098360655
EBBR,8,8,1020,1170,29,0.5037878787878788
EBBR,9,9,960,1140,21,0.7664141414141414
EBBR,10,10,340,500,46,0.4689327485380117
EBBR,11,11,1020,1120,20,0.4831989247311828
EBBR,10,10,1020,1120,18,0.6618589743589743
EBBR,11,11,340,500,39,0.4223163841807909
EBBR,12,12,1020,1140,18,0.639423076923077
EBBR,12,12,360,720,104,0.2278735632183908
EBBR,13,13,1020,1120,44,0.3083333333333333
EBBR,14,14,960,1160,33,0.7717013888888888
EBBR,15,15,360,480,32,0.1030701754385964
EDDF,16,16,760,800,32,0.6039393939393939
EDDF,16,16,1020,1200,65,0.5842507645259938
EDDF,16,16,1000,1020,65,0.5842507645259938
EDDF,16,16,920,940,65,0.5842507645259938
EDDF,16,16,940,1000,65,0.5842507645259938
EDDF,16,16,800,913,32,0.6039393939393939
EDDF,16,16,540,660,12,0.6866666666666668
EDDF,17,17,751,840,169,0.6550644567219153
EDDF,17,17,1060,1153,169,0.6550644567219153
EDDF,17,17,930,1060,169,0.6550644567219153
EDDF,17,17,840,900,169,0.6550644567219153
EDDF,17,17,640,751,169,0.6550644567219153
EDDF,17,17,390,470,45,0.5347701149425287
EDDF,17,17,900,930,169,0.6550644567219153
EDDF,18,18,780,880,22,0.5091666666666667
EDDF,17,17,470,512,45,0.5347701149425287
EDDF,4,4,600,887,82,0.6743243243243243
EDDF,19,19,270,280,6,0.7138888888888888
EDDF,19,19,500,520,26,0.6137037037037038
EDDF,19,19,520,646,26,0.6137037037037038
EDDF,20,20,720,760,185,0.5270731707317073
EDDF,20,20,960,1080,185,0.5270731707317073
EDDF,15,15,980,1166,99,0.5687134502923977
EDDF,20,20,1080,1260,185,0.5270731707317073
EDDF,20,20,760,960,185,0.5270731707317073
EDDF,19,19,300,360,14,0.75
EDDF,19,19,360,420,14,0.75
EDDL,23,23,1160,1260,22,0.4406926406926407
EDDL,0,0,1140,1260,23,0.3484848484848485
EDDL,0,0,480,520,13,0.7101449275362319
EDDL,0,0,380,480,13,0.7101449275362319
EDDL,2,2,1140,1260,20,0.6153846153846153
EDDL,2,2,660,760,9,0.696969696969697
EDDL,17,17,1140,1160,63,0.5292207792207793
EDDL,18,18,480,520,22,0.5161964472309301
EDDL,18,18,1160,1260,10,0.3203463203463204
EDDL,17,17,420,500,48,0.5427807486631017
EDDL,17,17,500,660,48,0.5427807486631017
EDDL,17,17,820,1140,63,0.5292207792207793
EDDL,18,18,400,480,22,0.5161964472309301
EDDL,17,17,1160,1260,63,0.5292207792207793
EDDL,24,24,1140,1260,37,0.2795883361921097
EDDL,3,3,1160,1280,25,0.3144963144963145
EDDL,24,24,420,520,22,0.5067920585161965
EDDL,4,4,1080,1100,24,0.4125874125874126
EDDL,4,4,920,1080,24,0.4125874125874126
EDDL,4,4,620,700,5,0.4882154882154882
EDDL,6,6,1160,1260,24,0.1253071253071253
EDDL,25,25,480,500,8,-0.0894660894660893
EDDL,25,25,420,480,8,-0.0894660894660893
EDDL,9,9,1160,1260,25,0.0930735930735931
EDDL,8,8,840,900,16,0.4416666666666666
EDDL,8,8,1140,1260,30,0.1666666666666666
EDDL,8,8,900,960,16,0.4416666666666666
EDDL,8,8,420,480,22,0.2345679012345679
EDDL,8,8,480,510,22,0.2345679012345679
EDDL,26,26,1140,1260,20,0.4090909090909091
EDDL,19,19,1140,1260,38,0.2141873278236914
EDDL,26,26,440,520,8,0.2344497607655502
EDDL,26,26,880,1100,35,0.6232782369146006
EDDL,11,11,1160,1260,19,0.3565656565656565
EDDL,10,10,400,500,17,0.5830721003134796
EDDL,11,11,480,520,19,0.2878787878787879
EDDL,11,11,420,480,19,0.2878787878787879
EDDL,12,12,1020,1140,23,0.7282502443792767
EDDL,12,12,480,520,9,0.4450757575757575
EDDL,21,21,1140,1260,31,0.2957839262187088
EDDL,12,12,1140,1260,30,0.3680555555555555
EDDL,12,12,420,480,9,0.4450757575757575
EDDL,22,22,420,480,11,0.5286195286195285
EDDL,22,22,1000,1100,8,0.5494949494949495
EDDL,22,22,1140,1280,24,0.5662337662337662
EDDL,13,13,1140,1260,42,0.4814271749755621
EDDL,20,20,900,1000,9,0.2153110047846889
EDDL,20,20,1160,1260,15,0.3663911845730027
EDDM,1,1,930,1040,13,0.4478553406223717
EDDM,17,17,1110,1121,5,0.3879310344827586
EDDM,17,17,660,820,28,0.690121155638397
EDDM,4,4,480,540,38,0.6128822381262199
EDDM,4,4,420,480,38,0.6128822381262199
EDDM,4,4,540,560,38,0.6128822381262199
EDDM,9,9,260,364,34,0.3543653705062362
EDDM,19,19,660,780,172,0.8070394854386279
EDDM,19,19,915,1020,172,0.8070394854386279
EDDM,19,19,780,915,172,0.8070394854386279
EDDM,19,19,1020,1101,172,0.8070394854386279
EDDM,27,27,860,914,5,0.6517241379310345
EDDM,13,13,680,840,65,0.5524137931034483
EDDM,15,15,1080,1100,52,0.7601330913490624
EDDM,20,20,990,1040,74,0.4922510654784967
EDDM,15,15,1100,1170,52,0.7601330913490624
EDDM,15,15,1020,1080,52,0.7601330913490624
EDDM,15,15,1170,1260,52,0.7601330913490624
EDDM,20,20,1040,1111,74,0.4922510654784967
EDDM,20,20,900,990,74,0.4922510654784967
EGCC,6,6,720,775,10,0.5729166666666667
EGCC,8,8,360,419,9,0.444078947368421
EGKK,0,0,700,782,28,0.2702169625246548
EGKK,23,23,340,425,29,0.4241758241758241
EGKK,0,0,1310,1358,19,0.4965034965034964
EGKK,0,0,340,493,38,0.3367346938775509
EGKK,23,23,980,1096,27,0.3974358974358974
EGKK,2,2,330,443,52,0.5331061343719571
EGKK,1,1,1300,1374,59,0.8783936651583711
EGKK,1,1,360,500,29,0.2652859960552268
EGKK,1,1,660,768,22,0.56575682382134
EGKK,1,1,1240,1300,59,0.8783936651583711
EGKK,2,2,920,1075,137,0.5083612040133779
EGKK,2,2,1075,1176,137,0.5083612040133779
EGKK,16,16,640,920,70,0.3076923076923077
EGKK,1,1,880,1170,62,0.4027409372236958
EGKK,2,2,315,330,52,0.5331061343719571
EGKK,16,16,360,440,20,0.3636363636363636
EGKK,2,2,700,920,137,0.5083612040133779
EGKK,17,17,700,1196,245,0.3871374527112232
EGKK,18,18,640,900,37,0.5972423802612482
EGKK,17,17,360,535,30,0.2895500725689404
EGKK,18,18,960,1130,54,0.1633136094674556
EGKK,24,24,1160,1380,52,0.6441025641025641
EGKK,24,24,1090,1160,52,0.6441025641025641
EGKK,24,24,360,457,131,0.4369230769230769
EGKK,3,3,360,434,178,0.4196104324859689
EGKK,3,3,960,1065,17,0.5659340659340659
EGKK,5,5,1300,1340,13,0.5180995475113123
EGKK,5,5,585,680,157,0.3341880341880342
EGKK,5,5,680,720,157,0.3341880341880342
EGKK,5,5,720,980,157,0.3341880341880342
EGKK,5,5,360,520,157,0.3341880341880342
EGKK,5,5,980,1108,157,0.3341880341880342
EGKK,5,5,520,585,157,0.3341880341880342
EGKK,5,5,1340,1354,13,0.5180995475113123
EGKK,25,25,1040,1160,205,0.3646506165590135
EGKK,25,25,1020,1040,205,0.3646506165590135
EGKK,6,6,1020,1200,38,0.3638461538461539
EGKK,6,6,360,506,32,0.1887298747763864
EGKK,25,25,540,820,205,0.3646506165590135
EGKK,7,7,360,401,174,0.2048697270471464
EGKK,25,25,820,1020,205,0.3646506165590135
EGKK,25,25,1160,1295,205,0.3646506165590135
EGKK,6,6,560,843,167,0.1317438217890706
EGKK,7,7,700,875,21,0.3997668997668998
EGKK,25,25,360,463,21,0.2221153846153845
EGKK,8,8,560,771,123,0.2595604395604395
EGKK,9,9,1320,1380,21,-0.0626373626373626
EGKK,8,8,360,495,31,0.1844405594405594
EGKK,8,8,1320,1371,165,0.791898922333705
EGKK,9,9,1080,1090,9,0.2105263157894736
EGKK,9,9,1260,1320,21,-0.0626373626373626
EGKK,9,9,360,530,305,0.4817165593027662
EGKK,26,26,1260,1380,19,0.3868778280542986
EGKK,26,26,360,457,24,0.1401985111662531
EGKK,26,26,720,911,332,0.1889712696941613
EGKK,19,19,1320,1376,265,0.2920602789023841
EGKK,19,19,640,761,19,0.432051282051282
EGKK,19,19,980,1110,265,0.2920602789023841
EGKK,19,19,1110,1320,265,0.2920602789023841
EGKK,26,26,980,1178,26,0.6008547008547008
EGKK,19,19,360,480,19,0.0604395604395604
EGKK,10,10,360,500,21,0.2827442827442827
EGKK,11,11,1350,1423,26,0.7481389578163772
EGKK,10,10,1320,1376,4,0.5528846153846154
EGKK,27,27,390,468,262,0.0237388724035608
EGKK,27,27,680,860,48,0.5520361990950227
EGKK,10,10,560,840,117,0.0821559392987964
EGKK,11,11,340,500,135,0.3567639257294429
EGKK,11,11,500,1072,135,0.3567639257294429
EGKK,27,27,340,390,262,0.0237388724035608
EGKK,10,10,980,1149,33,0.2967853042479907
EGKK,11,11,1320,1350,26,0.7481389578163772
EGKK,21,21,1240,1257,112,0.3375796178343949
EGKK,21,21,360,516,110,0.8324592074592074
EGKK,10,10,1306,1345,2,0.4038461538461538
EGKK,12,12,960,1240,56,0.4460702341137124
EGKK,21,21,980,1125,32,0.2313895781637717
EGKK,12,12,700,774,26,0.272079772079772
EGKK,21,21,780,837,6,0.4285714285714285
EGKK,12,12,1320,1380,56,0.4460702341137124
EGKK,12,12,1240,1320,56,0.4460702341137124
